file,culture,source_url,license,has_people,status,notes
Cozy vaulted bedroom.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Display-cabinet stone kitchen.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Eclectic plated salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Elegant draped bedroom.webp,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Grand arched hall salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Green-ceiling rustic salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Modern wood kitchen.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Mosaic-tile cooking kitchen.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Mountain-view arched salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Patterned-tile floor kitchen.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Red majlis seating.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Red-rug stone salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Rustic stone kitchen.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Stone arch salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Traditional banquette salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Traditional pantry kitchen.webp,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Triple-arch window salon.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Twin red bedroom.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Wrought-iron bed bedroom.jpg,lebanese,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Elegant chandelier majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Four-poster minimal bedroom.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Grand red majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Heritage beamed bedroom.webp,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Modern neutral bedroom.webp,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Neutral corner majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Ornate arched majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Patterned-rug seating majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Plated-wall majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Red-carpet floor majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Round-rug minimal majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Spacious formal majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Traditional beamed majles.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Warm modern bedroom.jpg,khaleeji,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Arched alcove headboard bedroom.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Colorful lantern bedroom.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Cozy neutral salon.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Garden archway salon.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Golden arched bedroom.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Hanging lanterns salon.webp,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
Iron-frame arched bedroom.jpg,moroccan,,,no,TODO,fill source_url + license (prefer Wikimedia/Unsplash/Pexels/ArchNet)
